Threads,Size,Time
1,20,0.000010127
1,200,0.004381392
1,400,0.051454530
1,800,0.314817625
1,1600,2.784477390
1,3200,20.108729000
1,6400,151.001369535
2,20,0.000084999
2,200,0.006428629
2,400,0.018146399
2,800,0.170597186
2,1600,1.404576267
2,3200,10.097667942
2,6400,75.950942209
3,20,0.000107139
3,200,0.003654884
3,400,0.024739158
3,800,0.122430377
3,1600,0.931297233
3,3200,6.771626617
3,6400,50.705010496
4,20,0.000140175
4,200,0.003003668
4,400,0.021508291
4,800,0.087526057
4,1600,0.702254021
4,3200,5.052213162
4,6400,39.113451085
5,20,0.000183268
5,200,0.002856509
5,400,0.018311717
5,800,0.081342228
5,1600,0.581883869
5,3200,4.347832655
5,6400,33.679585535
6,20,0.000221821
6,200,0.002307193
6,400,0.014535654
6,800,0.057758970
6,1600,0.495738954
6,3200,3.743479845
6,6400,30.124680630
