timestamp,dimension,iteration,configuration,time
1742870520,10,1,"Standard",0.000397358
1742870520,10,1,"Transpose Only",0.000411394
1742870520,10,1,"O3 + loop",0.000767060
1742870520,10,1,"O3 + transpose",0.000753024
1742870521,10,2,"Standard",0.000611610
1742870521,10,2,"Transpose Only",0.000524596
1742870521,10,2,"O3 + loop",0.000777955
1742870521,10,2,"O3 + transpose",0.000539261
1742870521,10,3,"Standard",0.000808123
1742870521,10,3,"Transpose Only",0.000631791
1742870521,10,3,"O3 + loop",0.000600855
1742870521,10,3,"O3 + transpose",0.000730258
1742870521,10,4,"Standard",0.000486605
1742870521,10,4,"Transpose Only",0.000555742
1742870521,10,4,"O3 + loop",0.000764686
1742870522,10,4,"O3 + transpose",0.000687589
1742870522,10,5,"Standard",0.000959595
1742870522,10,5,"Transpose Only",0.000561957
1742870522,10,5,"O3 + loop",0.000507696
1742870522,10,5,"O3 + transpose",0.000583117
1742870522,10,6,"Standard",0.000620828
1742870522,10,6,"Transpose Only",0.000688148
1742870522,10,6,"O3 + loop",0.000600925
1742870522,10,6,"O3 + transpose",0.000497012
1742870522,10,7,"Standard",0.000609654
1742870523,10,7,"Transpose Only",0.000357552
1742870523,10,7,"O3 + loop",0.000762033
1742870523,10,7,"O3 + transpose",0.000427945
1742870523,10,8,"Standard",0.000464887
1742870523,10,8,"Transpose Only",0.000521802
1742870523,10,8,"O3 + loop",0.000453644
1742870523,10,8,"O3 + transpose",0.000754141
1742870523,10,9,"Standard",0.004105774
1742870523,10,9,"Transpose Only",0.002768584
1742870523,10,9,"O3 + loop",0.000599040
1742870524,10,9,"O3 + transpose",0.000655466
1742870524,10,10,"Standard",0.000592406
1742870524,10,10,"Transpose Only",0.000516076
1742870524,10,10,"O3 + loop",0.000654768
1742870524,10,10,"O3 + transpose",0.000834940
1742870524,10,11,"Standard",0.000443798
1742870524,10,11,"Transpose Only",0.000453016
1742870524,10,11,"O3 + loop",0.000545686
1742870524,10,11,"O3 + transpose",0.000371869
1742870524,10,12,"Standard",0.000638985
1742870524,10,12,"Transpose Only",0.000518521
1742870525,10,12,"O3 + loop",0.000778445
1742870525,10,12,"O3 + transpose",0.000762034
1742870525,100,1,"Standard",0.002380447
1742870525,100,1,"Transpose Only",0.002543091
1742870525,100,1,"O3 + loop",0.000853098
1742870525,100,1,"O3 + transpose",0.000843321
1742870525,100,2,"Standard",0.002177368
1742870525,100,2,"Transpose Only",0.002715862
1742870525,100,2,"O3 + loop",0.001085017
1742870525,100,2,"O3 + transpose",0.000874886
1742870526,100,3,"Standard",0.002032881
1742870526,100,3,"Transpose Only",0.002115565
1742870526,100,3,"O3 + loop",0.001010714
1742870526,100,3,"O3 + transpose",0.000803515
1742870526,100,4,"Standard",0.002402655
1742870526,100,4,"Transpose Only",0.002676964
1742870526,100,4,"O3 + loop",0.001143190
1742870526,100,4,"O3 + transpose",0.000730328
1742870526,100,5,"Standard",0.002269061
1742870526,100,5,"Transpose Only",0.002303000
1742870527,100,5,"O3 + loop",0.000955615
1742870527,100,5,"O3 + transpose",0.000698275
1742870527,100,6,"Standard",0.002407055
1742870527,100,6,"Transpose Only",0.002522980
1742870527,100,6,"O3 + loop",0.000845625
1742870527,100,6,"O3 + transpose",0.001014695
1742870527,100,7,"Standard",0.002296088
1742870527,100,7,"Transpose Only",0.002560272
1742870527,100,7,"O3 + loop",0.000873979
1742870527,100,7,"O3 + transpose",0.000725511
1742870527,100,8,"Standard",0.002252511
