timestamp,dimension,iteration,configuration,time
1742850069,10,1,"Standard",0.000277970
1742850069,10,1,"Transpose Only",0.000353539
1742850069,10,1,"O3 + loop",0.000307583
1742850070,10,1,"O3 + transpose",0.000197442
1742850070,10,2,"Standard",0.000176420
1742850070,10,2,"Transpose Only",0.000306186
1742850070,10,2,"O3 + loop",0.000328815
1742850070,10,2,"O3 + transpose",0.000296339
1742850070,10,3,"Standard",0.000284326
1742850070,10,3,"Transpose Only",0.000308351
1742850070,10,3,"O3 + loop",0.000218604
1742850070,10,3,"O3 + transpose",0.000350256
1742850070,10,4,"Standard",0.000234110
1742850070,10,4,"Transpose Only",0.000257646
1742850071,10,4,"O3 + loop",0.000317431
1742850071,10,4,"O3 + transpose",0.000216928
1742850071,10,5,"Standard",0.000263374
1742850071,10,5,"Transpose Only",0.000319176
1742850071,10,5,"O3 + loop",0.000317431
1742850071,10,5,"O3 + transpose",0.000317082
1742850071,10,6,"Standard",0.000260160
1742850071,10,6,"Transpose Only",0.000252338
1742850071,10,6,"O3 + loop",0.000296129
1742850071,10,6,"O3 + transpose",0.000337755
1742850072,10,7,"Standard",0.000336288
1742850072,10,7,"Transpose Only",0.000367018
1742850072,10,7,"O3 + loop",0.000161474
1742850072,10,7,"O3 + transpose",0.000305138
1742850072,10,8,"Standard",0.000281463
1742850072,10,8,"Transpose Only",0.000328814
1742850072,10,8,"O3 + loop",0.000322668
1742850072,10,8,"O3 + transpose",0.000307304
1742850072,10,9,"Standard",0.000239138
1742850072,10,9,"Transpose Only",0.000329234
1742850073,10,9,"O3 + loop",0.000363177
1742850073,10,9,"O3 + transpose",0.000295291
1742850073,10,10,"Standard",0.000276084
1742850073,10,10,"Transpose Only",0.000325323
1742850073,10,10,"O3 + loop",0.000340968
1742850073,10,10,"O3 + transpose",0.000253805
1742850073,10,11,"Standard",0.000195906
1742850073,10,11,"Transpose Only",0.000293474
1742850073,10,11,"O3 + loop",0.000176840
1742850073,10,11,"O3 + transpose",0.000265259
1742850073,10,12,"Standard",0.000365901
1742850074,10,12,"Transpose Only",0.000264910
1742850074,10,12,"O3 + loop",0.000309329
1742850074,10,12,"O3 + transpose",0.000227474
1742850074,100,1,"Standard",0.002232212
1742850074,100,1,"Transpose Only",0.002063474
1742850074,100,1,"O3 + loop",0.000597286
1742850074,100,1,"O3 + transpose",0.000607065
1742850074,100,2,"Standard",0.002547407
1742850074,100,2,"Transpose Only",0.002073042
1742850074,100,2,"O3 + loop",0.000486587
1742850075,100,2,"O3 + transpose",0.000664684
1742850075,100,3,"Standard",0.002342910
1742850075,100,3,"Transpose Only",0.003407997
1742850075,100,3,"O3 + loop",0.000572772
1742850075,100,3,"O3 + transpose",0.000627458
1742850075,100,4,"Standard",0.002003130
1742850075,100,4,"Transpose Only",0.002138763
1742850075,100,4,"O3 + loop",0.000683052
1742850075,100,4,"O3 + transpose",0.000639890
1742850075,100,5,"Standard",0.001877415
1742850076,100,5,"Transpose Only",0.002726341
1742850076,100,5,"O3 + loop",0.000691991
1742850076,100,5,"O3 + transpose",0.000576054
1742850076,100,6,"Standard",0.002196452
1742850076,100,6,"Transpose Only",0.001833554
1742850076,100,6,"O3 + loop",0.000415698
1742850076,100,6,"O3 + transpose",0.000690944
1742850076,100,7,"Standard",0.001632759
1742850076,100,7,"Transpose Only",0.001822031
1742850076,100,7,"O3 + loop",0.000617890
1742850076,100,7,"O3 + transpose",0.000435393
1742850077,100,8,"Standard",0.002441527
1742850077,100,8,"Transpose Only",0.001818189
1742850077,100,8,"O3 + loop",0.000503838
1742850077,100,8,"O3 + transpose",0.000583528
1742850077,100,9,"Standard",0.001774329
1742850077,100,9,"Transpose Only",0.001990699
1742850077,100,9,"O3 + loop",0.000474435
1742850077,100,9,"O3 + transpose",0.000547908
1742850077,100,10,"Standard",0.001838444
1742850077,100,10,"Transpose Only",0.002520867
1742850078,100,10,"O3 + loop",0.000613071
1742850078,100,10,"O3 + transpose",0.000485120
1742850078,100,11,"Standard",0.002273278
1742850078,100,11,"Transpose Only",0.001765529
1742850078,100,11,"O3 + loop",0.000679141
1742850078,100,11,"O3 + transpose",0.000417304
1742850078,100,12,"Standard",0.001988813
1742850078,100,12,"Transpose Only",0.002437686
1742850078,100,12,"O3 + loop",0.000498669
1742850078,100,12,"O3 + transpose",0.000499718
1742850078,200,1,"Standard",0.012245070
1742850079,200,1,"Transpose Only",0.011010058
1742850079,200,1,"O3 + loop",0.002470791
1742850079,200,1,"O3 + transpose",0.002366307
1742850079,200,2,"Standard",0.009538982
1742850079,200,2,"Transpose Only",0.012928052
1742850079,200,2,"O3 + loop",0.002495864
1742850079,200,2,"O3 + transpose",0.002298421
1742850079,200,3,"Standard",0.013858762
1742850079,200,3,"Transpose Only",0.013099723
1742850080,200,3,"O3 + loop",0.002811269
1742850080,200,3,"O3 + transpose",0.002463247
1742850080,200,4,"Standard",0.012956897
1742850080,200,4,"Transpose Only",0.014378036
1742850080,200,4,"O3 + loop",0.002576322
1742850080,200,4,"O3 + transpose",0.002706088
1742850080,200,5,"Standard",0.011076199
1742850080,200,5,"Transpose Only",0.013401788
1742850080,200,5,"O3 + loop",0.002410448
1742850080,200,5,"O3 + transpose",0.002145398
1742850081,200,6,"Standard",0.012997963
1742850081,200,6,"Transpose Only",0.012686889
1742850081,200,6,"O3 + loop",0.002347240
1742850081,200,6,"O3 + transpose",0.001832926
1742850081,200,7,"Standard",0.010287616
1742850081,200,7,"Transpose Only",0.013079748
1742850081,200,7,"O3 + loop",0.003283888
1742850081,200,7,"O3 + transpose",0.002158667
1742850081,200,8,"Standard",0.013091691
1742850081,200,8,"Transpose Only",0.009683206
1742850082,200,8,"O3 + loop",0.002266504
1742850082,200,8,"O3 + transpose",0.002370638
1742850082,200,9,"Standard",0.015110675
1742850082,200,9,"Transpose Only",0.013272651
1742850082,200,9,"O3 + loop",0.002278098
1742850082,200,9,"O3 + transpose",0.002469184
1742850082,200,10,"Standard",0.011351236
1742850082,200,10,"Transpose Only",0.009334137
1742850082,200,10,"O3 + loop",0.002452003
1742850083,200,10,"O3 + transpose",0.002754627
1742850083,200,11,"Standard",0.011770076
1742850083,200,11,"Transpose Only",0.012503554
1742850083,200,11,"O3 + loop",0.002268948
1742850083,200,11,"O3 + transpose",0.002341513
1742850083,200,12,"Standard",0.010889163
1742850083,200,12,"Transpose Only",0.011312753
1742850083,200,12,"O3 + loop",0.001999918
1742850083,200,12,"O3 + transpose",0.002186884
1742850084,400,1,"Standard",0.056794870
1742850084,400,1,"Transpose Only",0.061322639
1742850084,400,1,"O3 + loop",0.016168149
1742850084,400,1,"O3 + transpose",0.013723340
1742850084,400,2,"Standard",0.059851702
1742850084,400,2,"Transpose Only",0.051377247
1742850084,400,2,"O3 + loop",0.012920299
1742850085,400,2,"O3 + transpose",0.015196581
1742850085,400,3,"Standard",0.052751732
1742850085,400,3,"Transpose Only",0.063555549
1742850085,400,3,"O3 + loop",0.017564913
1742850085,400,3,"O3 + transpose",0.013524221
1742850085,400,4,"Standard",0.053866336
1742850085,400,4,"Transpose Only",0.061919855
1742850086,400,4,"O3 + loop",0.015851487
1742850086,400,4,"O3 + transpose",0.013519402
1742850086,400,5,"Standard",0.053752984
1742850086,400,5,"Transpose Only",0.062271927
1742850086,400,5,"O3 + loop",0.015808185
1742850086,400,5,"O3 + transpose",0.014419802
1742850086,400,6,"Standard",0.053612532
1742850087,400,6,"Transpose Only",0.061057380
1742850087,400,6,"O3 + loop",0.014396684
1742850087,400,6,"O3 + transpose",0.014064447
1742850087,400,7,"Standard",0.053009379
1742850087,400,7,"Transpose Only",0.070963241
1742850087,400,7,"O3 + loop",0.016444583
1742850088,400,7,"O3 + transpose",0.014378874
1742850088,400,8,"Standard",0.053873111
1742850088,400,8,"Transpose Only",0.065599747
1742850088,400,8,"O3 + loop",0.015431668
1742850088,400,8,"O3 + transpose",0.014776484
1742850088,400,9,"Standard",0.056459071
1742850088,400,9,"Transpose Only",0.058686533
1742850089,400,9,"O3 + loop",0.016008003
1742850089,400,9,"O3 + transpose",0.013687441
1742850089,400,10,"Standard",0.063044727
1742850089,400,10,"Transpose Only",0.118312298
1742850089,400,10,"O3 + loop",0.014047754
1742850089,400,10,"O3 + transpose",0.011314359
1742850090,400,11,"Standard",0.055506011
1742850090,400,11,"Transpose Only",0.059257070
1742850090,400,11,"O3 + loop",0.016166055
1742850090,400,11,"O3 + transpose",0.016509675
1742850090,400,12,"Standard",0.053245304
1742850090,400,12,"Transpose Only",0.063339319
1742850090,400,12,"O3 + loop",0.015580012
1742850091,400,12,"O3 + transpose",0.015530913
1742850091,800,1,"Standard",0.474732354
1742850092,800,1,"Transpose Only",0.414840842
1742850092,800,1,"O3 + loop",0.081346821
1742850092,800,1,"O3 + transpose",0.068207148
1742850093,800,2,"Standard",0.459464467
1742850094,800,2,"Transpose Only",0.408552574
1742850094,800,2,"O3 + loop",0.089705129
1742850094,800,2,"O3 + transpose",0.074840436
1742850095,800,3,"Standard",0.452602938
1742850095,800,3,"Transpose Only",0.400133995
1742850096,800,3,"O3 + loop",0.096059959
1742850096,800,3,"O3 + transpose",0.080588061
1742850097,800,4,"Standard",0.455197421
1742850097,800,4,"Transpose Only",0.409378317
1742850097,800,4,"O3 + loop",0.117894438
1742850098,800,4,"O3 + transpose",0.083523579
1742850098,800,5,"Standard",0.475737804
1742850099,800,5,"Transpose Only",0.400815444
1742850099,800,5,"O3 + loop",0.088562171
1742850099,800,5,"O3 + transpose",0.080204491
1742850100,800,6,"Standard",0.590388516
1742850101,800,6,"Transpose Only",0.416345801
1742850101,800,6,"O3 + loop",0.093644554
1742850101,800,6,"O3 + transpose",0.077053651
1742850102,800,7,"Standard",0.557120041
1742850102,800,7,"Transpose Only",0.416167287
1742850103,800,7,"O3 + loop",0.081567243
1742850103,800,7,"O3 + transpose",0.072747631
1742850104,800,8,"Standard",0.480388431
1742850104,800,8,"Transpose Only",0.412090977
1742850104,800,8,"O3 + loop",0.085206417
1742850105,800,8,"O3 + transpose",0.072249241
1742850105,800,9,"Standard",0.448309641
1742850106,800,9,"Transpose Only",0.429014328
1742850106,800,9,"O3 + loop",0.081543987
1742850107,800,9,"O3 + transpose",0.085897571
1742850107,800,10,"Standard",0.471311176
1742850108,800,10,"Transpose Only",0.483878218
1742850108,800,10,"O3 + loop",0.085951420
1742850108,800,10,"O3 + transpose",0.069619560
1742850109,800,11,"Standard",0.464502029
1742850110,800,11,"Transpose Only",0.441187604
1742850110,800,11,"O3 + loop",0.164201672
1742850110,800,11,"O3 + transpose",0.070668164
1742850111,800,12,"Standard",0.451128319
1742850111,800,12,"Transpose Only",0.413303856
1742850112,800,12,"O3 + loop",0.092411571
1742850112,800,12,"O3 + transpose",0.073404284
1742850116,1600,1,"Standard",4.269459807
1742850120,1600,1,"Transpose Only",3.366176103
1742850121,1600,1,"O3 + loop",0.916382080
1742850122,1600,1,"O3 + transpose",0.543270385
1742850127,1600,2,"Standard",4.258521514
1742850131,1600,2,"Transpose Only",3.347796289
1742850132,1600,2,"O3 + loop",0.920682747
1742850133,1600,2,"O3 + transpose",0.539576050
1742850137,1600,3,"Standard",4.358722436
1742850141,1600,3,"Transpose Only",3.434343759
